source,transition,semantic_drift,top_frame_movement,mean_frame_movement,top_rising_frame,top_falling_frame,top_rising_delta,top_falling_delta,compound_delta,intensity_delta,polarization_delta,top_entity_turnover,mean_entity_turnover,mean_entity_js,num_entity_changes,top_entity,top_entity_added_verbs,top_entity_removed_verbs,archetype_id
bbc.co.uk,2020-01_02->2020-03_04,0.07582157850265503,0.14234493449840602,0.0727437023015949,arrive / receive / gain / ship / deliver,evacuate / flee / escape / evade,0.025732862375481773,-0.14234493449840602,0.2537338721804511,0.007813157894736855,-0.019975563909774438,0.9230769230769231,0.8884213891903896,0.8929792296014636,5,china,"['accuse', 'affect', 'attack', 'back', 'base', 'cancel', 'condemn', 'cut', 'deal', 'detect']","['arrive', 'cause', 'confirm', 'consider', 'force', 'hit', 'identify', 'kill', 'leave', 'look']",1
bbc.co.uk,2020-03_04->2020-05_06,0.01637876033782959,0.044991721815822824,0.028864107006197882,assess / evaluate / determine / calculate,hit / get / close / shut / shoot,0.044991721815822824,-0.019910488617043864,0.03578657894736841,0.0004947368421052423,-0.002951315789473677,0.9,0.8720125909895732,0.8945631752604598,5,china,"['account', 'apply', 'blame', 'build', 'contract', 'drive', 'ease', 'express', 'infect', 'operate']","['affect', 'back', 'base', 'cancel', 'cut', 'deal', 'detect', 'die', 'gain', 'issue']",0
bbc.co.uk,2020-05_06->2020-07_08,0.016081631183624268,0.04749966312408355,0.0320769626873733,issue / post / try / fail / help,assess / evaluate / determine / calculate,0.04301034287632533,-0.04749966312408355,0.05198064777327935,-0.009795074224021594,-0.0072994939271255055,0.9333333333333333,0.8885938183163488,0.9002677983688366,5,united states,"['agree', 'ban', 'base', 'break', 'buy', 'clash', 'defend', 'develop', 'experience', 'impose']","['authorise', 'blame', 'compare', 'condemn', 'face', 'follow', 'increase', 'infect', 'keep', 'list']",0
bbc.co.uk,2020-07_08->2020-09_10,0.012694597244262695,0.040528448002901285,0.02531601616146063,scramble / undermine / assassinate / overthrow / hack,issue / post / try / fail / help,0.02273309748714145,-0.040528448002901285,0.028372115384615378,0.008768429487179513,0.0025567307692307834,0.9655172413793104,0.9092213621080616,0.9201232329371793,5,china,"['arrive', 'blame', 'catch', 'change', 'contract', 'cut', 'discuss', 'hold', 'lead', 'list']","['allow', 'ban', 'bring', 'build', 'cancel', 'clash', 'condemn', 'criticise', 'drive', 'end']",0
bbc.co.uk,2020-09_10->2020-11_12,0.023742973804473877,0.04666359629649983,0.02238434124089924,notify / trigger / alert / alarm,scramble / undermine / assassinate / overthrow / hack,0.04666359629649983,-0.02227512579795204,0.060879023297491036,-0.004150067204301111,0.004055510752688174,0.8888888888888888,0.8778618618618619,0.9083720558349342,5,united states,"['accord', 'apologise', 'approve', 'bring', 'close', 'experience', 'focus', 'gain', 'hit', 'lay']","['allow', 'arrive', 'back', 'blame', 'change', 'cross', 'declare', 'defend', 'deny', 'discuss']",0
bbc.co.uk,2020-11_12->2021-01_02,0.02249884605407715,0.05442066697961098,0.03718903421755894,label / identify / classify / recognise / distinguish,notify / trigger / alert / alarm,0.05442066697961098,-0.05010901314024552,-0.0797256422402223,-0.004378759888209904,-0.004906446876036211,0.9142857142857143,0.8680634920634919,0.871684128876898,5,covid-19,"['apologise', 'break', 'bring', 'carry', 'confirm', 'deliver', 'detect', 'ease', 'extend', 'fall']","['authorise', 'believe', 'catch', 'cause', 'deal', 'fight', 'focus', 'grow', 'hear', 'involve']",0
bbc.co.uk,2021-01_02->2021-03_04,0.01826244592666626,0.06016358536243875,0.03450739795134518,die / kill / beat / live / win,label / identify / classify / recognise / distinguish,0.029465079025395188,-0.06016358536243875,0.07956832946904707,0.00357652446093204,0.009092383491769065,0.935483870967742,0.8655239026206768,0.8579965059695691,5,covid-19,"['accept', 'affect', 'blame', 'catch', 'claim', 'contract', 'get', 'involve', 'mean', 'mention']","['apologise', 'break', 'bring', 'carry', 'confirm', 'deliver', 'detect', 'ease', 'extend', 'fall']",0
bbc.co.uk,2021-03_04->2021-05_06,0.019291937351226807,0.11362480462326946,0.04775703476771742,issue / post / try / fail / help,die / kill / beat / live / win,0.11362480462326946,-0.03856229562892666,0.0999709189235224,-0.006621504002725237,0.005550987906659859,0.9024390243902439,0.8586464070285864,0.8981231528920327,5,india,"['administer', 'announce', 'ban', 'cause', 'detect', 'die', 'drive', 'get', 'identify', 'increase']","['account', 'arrive', 'base', 'cancel', 'carry', 'confirm', 'cut', 'fall', 'launch', 'push']",0
bbc.co.uk,2021-05_06->2021-07_08,0.029227375984191895,0.14832086221639273,0.05271722110932825,issue / post / try / fail / help,constrain / trivialise / minimise,0.14832086221639273,-0.04531673392133825,-0.04288773092585299,-0.007207812369385863,-0.0031636991127192912,0.9090909090909091,0.8356645253870558,0.818313238020082,5,covid-19,"['accept', 'account', 'catch', 'drop', 'end', 'experience', 'get', 'identify', 'involve', 'live']","['admit', 'announce', 'back', 'build', 'contribute', 'cut', 'extend', 'feel', 'help', 'keep']",1
bbc.co.uk,2021-07_08->2021-09_10,0.01927739381790161,0.06381779824147521,0.03597994655715479,notify / trigger / alert / alarm,issue / post / try / fail / help,0.05351836258409595,-0.06381779824147521,0.01913701753440894,-0.001402550704339131,-0.0015906887171061312,0.8979591836734694,0.8370662342090913,0.8119176425814085,5,united states,"['allow', 'announce', 'apply', 'approve', 'base', 'cause', 'compare', 'confirm', 'cut', 'face']","['account', 'believe', 'buy', 'die', 'find', 'gain', 'head', 'hit', 'impose', 'issue']",0
